                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                   1.49,                 1.0037,                 1.3882,                0.42215,                0.77778,                0.41838,                0.23341,                 1.4305,                 3.0352,                 1.5654,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5249,                 1.0107,                 1.3666,                0.40446,                0.76971,                0.41611,                0.22377,                 1.5668,                 2.6875,                 1.6431,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4608,                0.94808,                 1.3804,                0.40937,                    0.8,                0.42685,                0.24038,                 1.5068,                 3.0407,                 1.5946,                0.00101,                0.00101,                0.00101
                     52,                 1.5137,                0.92679,                 1.3658,                0.37759,                0.82222,                0.42333,                0.24472,                 1.4935,                  3.269,                  1.634,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5003,                0.95236,                 1.3684,                0.40209,                0.79207,                0.42236,                0.23224,                  1.441,                 3.5178,                 1.5897,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4233,                0.91724,                 1.3608,                0.39659,                    0.8,                0.40086,                0.19907,                 1.5928,                 3.5221,                 1.6156,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4503,                0.95641,                 1.4065,                0.39606,                0.83333,                0.44014,                0.24127,                 1.4845,                 3.1438,                 1.6077,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4417,                 0.9116,                 1.3248,                0.39646,                0.78889,                  0.401,                0.22502,                 1.5333,                 3.2615,                 1.6499,               0.000911,               0.000911,               0.000911
                     57,                 1.4109,                0.90136,                 1.3023,                0.39944,                0.78889,                0.41174,                0.23664,                 1.4588,                 3.1558,                 1.5954,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.427,                0.92983,                 1.3196,                0.39296,                0.81997,                0.42665,                0.23241,                 1.4547,                 3.4245,                 1.6005,              0.0008714,              0.0008714,              0.0008714
